,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,
,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate
2020 LGA Name,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate
Mornington Peninsula (S),"151,700","1,246",5.3,,"154,001","1,294",5.1,,"156,500","1,425",5.0,,"158,831","1,478",5.1,,"161,528","1,475",5.2,,"163,834","1,425",5.0,,"165,823","1,417",4.8,," 167,619 "," 1,550 ",4.7,,"168,862","1,486",4.7
Nillumbik (S),"62,935",230,5.0,,"63,174",229,4.7,,"63,433",276,5.0,,"63,675",245,4.9,,"64,174",269,5.0,,"64,618",227,4.5,,"64,941",254,4.4,," 65,099 ", 291 ,4.4,,"65,219",281,4.5
Port Phillip (C),"99,893",458,5.6,,"102,156",431,5.2,,"104,451",458,5.0,,"106,381",518,5.0,,"108,627",456,4.9,,"110,656",513,4.9,,"113,265",474,4.6,," 115,620 ", 535 ,4.7,,"116,476",477,4.4
Stonnington (C),"101,410",542,4.3,,"103,487",607,4.4,,"105,894",605,4.4,,"108,028",600,4.5,,"111,003",633,4.4,,"113,772",647,4.4,,"116,281",576,4.2,," 117,776 ", 723 ,4.4,,"118,614",614,4.2
Whitehorse (C),"159,661","1,146",4.8,,"162,081","1,103",4.7,,"164,320","1,179",4.7,,"166,679","1,119",4.5,,"169,641","1,171",4.5,,"173,263","1,066",4.3,,"176,273","1,007",4.1,," 178,779 "," 1,247 ",4.1,,"180,735","1,108",4.1
Whittlesea (C),"169,993",765,5.9,,"179,272",829,5.8,,"187,899",856,5.5,,"196,847",915,5.5,,"207,058",920,5.4,,"215,686",991,5.3,,"223,347",960,5.1,," 230,297 "," 1,178 ",5.2,,"236,539","1,139",5.2
Wyndham (C),"179,131",562,5.6,,"190,211",611,5.6,,"201,512",615,5.6,,"213,815",666,5.5,,"227,008",764,5.6,,"241,071",786,5.7,,"255,367",752,5.7,," 270,607 ", 862 ,5.4,,"283,294",857,5.2
Yarra (C),"81,268",337,5.2,,"83,962",304,4.8,,"87,228",355,4.9,,"89,923",381,4.9,,"92,894",395,5.2,,"95,994",356,5.0,,"98,567",322,4.6,," 101,516 ", 475 ,4.6,,"103,125",397,4.5
Yarra Ranges (S),"149,864",762,5.3,,"150,902",768,5.1,,"151,968",840,5.1,,"153,391",876,5.2,,"155,226",897,5.3,,"156,869",805,5.1,,"158,171",832,4.8,," 159,474 ", 931 ,4.7,,"159,955",886,4.6
,,,,,,,,,,,,,,,,,,,,,"19,885",172,5.4,,"19,874",168,5.3,," 19,920 ", 198 ,5.4,,"20,018",187,5.6
,,,,,,,,,,,,,,,,,,,,,"215,238",882,5.5,,"224,423",826,5.2,," 233,545 ", 935 ,5.0,,"241,188",947,4.8
,,,,,,,,,,,,,,,,,,,,,"16,333",117,5.9,,"16,489",123,5.5,," 16,699 ", 164 ,5.6,,"16,885",138,5.8
,,,,,,,,,,,,,,,,,,,,,"161,051","1,125",4.8,,"163,452","1,086",4.7,," 165,804 "," 1,131 ",4.7,,"167,293","1,107",4.6
,,,,,,,,,,,,,,,,,,,,,"161,827","1,011",5.2,,"163,212",901,5.0,," 164,553 "," 1,095 ",5.0,,"165,147","1,011",4.9
,,,,,,,,,,,,,,,,,,,,,"74,908",712,6.9,,"75,209",666,6.7,," 75,553 ", 810 ,6.9,,"75,915",751,6.9
,,,,,,,,,,,,,,,,,,,,,"7,507",83,5.5,,"7,513",70,5.2,," 7,502 ", 105 ,5.7,,"7,473",95,5.8
,,,,,,,,,,,,,,,,,,,,,"48,422",316,5.5,,"49,387",305,5.5,," 50,230 ", 342 ,5.6,,"50,971",294,5.4
,,,,,,,,,,,,,,,,,,,,,"124,270",935,4.3,,"125,535",847,4.0,," 127,585 "," 1,001 ",4.1,,"128,929",948,3.9
,,,,,,,,,,,,,,,,,,,,,"8,796",76,5.5,,"8,979",69,5.6,," 9,175 ", 71 ,5.6,,"9,474",67,5.1
,,,,,,,,,,,,,,,,,,,,,"89,362",483,6.1,,"91,413",486,6.0,," 93,482 ", 512 ,6.2,,"94,982",495,6.1
,,,,,,,,,,,,,,,,,,,,,"116,321",781,5.4,,"117,505",763,5.1,," 118,569 ", 880 ,5.1,,"119,401",804,5.1
,,,,,,,,,,,,,,,,,,,,,"159,141",388,4.5,,"170,317",334,4.1,," 178,994 ", 572 ,4.5,,"183,756",448,4.5
,,,,,,,,,,,,,,,,,,,,,"148,618",516,5.7,,"156,718",489,5.3,," 164,936 ", 549 ,5.2,,"172,500",562,4.9
,,,,,,,,,,,,,,,,,,,,,"55,142",471,6.0,,"55,516",479,6.0,," 55,779 ", 532 ,6.2,,"55,937",480,6.2
,,,,,,,,,,,,,,,,,,,,,"42,903",244,5.3,,"44,298",238,5.2,," 46,087 ", 280 ,5.5,,"47,647",258,5.4
,,,,,,,,,,,,,,,,,,,,,"29,652",318,6.4,,"29,797",317,6.1,," 29,920 ", 348 ,6.0,,"30,018",298,5.8
,,,,,,,,,,,,,,,,,,,,,"196,922","1,285",4.5,,"200,212","1,204",4.3,," 202,896 "," 1,480 ",4.4,,"204,936","1,314",4.4
